Month|Views of page Common subexpression elimination|Views of page Compiler|Views of page Compiler correctness|Views of page Constant folding|Views of page Data-flow analysis|Views of page Loop invariant|Views of page Optimizing compiler|Views of page Peephole optimization|Views of page Reaching definition|Views of page Strength reduction|Total|Percentage
201212|0|0|0|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0|0|0|0|0
Total|60|4869|48|92|186|188|294|146|32|845999|100
Percentage|1|81.2|0.8|1.5|3.1|3.1|4.9|2.4|0.5|1.4|100
